,hotel,star,review,date,date
0,라까사 호텔 서울,4,접근성 좋고 괝찬은듯.,2일 전,2022. 02. 06
1,라까사 호텔 서울,4,"샤워가운 교체 시급합니다. 허리고리, 주머니가 다 떨어져있고, 실밥이 주렁주렁 달렸는데 컨디션 체크도 안하는 것 같아 매우 아쉽네요 주차비 별도 5천원, 물은 250ml 두개뿐. 화장실문은 유격이 너무 커서 틈으로 내부가 많이 보이고, 내부 먼지날림도 있고,,  겉보기엔 좋으나 이용후 추천은 아니네요.",2022. 01. 30,2022. 01. 30
2,라까사 호텔 서울,5,친절해요:),2022. 01. 14,2022. 01. 14
3,라까사 호텔 서울,1,응대수준이낮음,2022. 01. 09,2022. 01. 09
4,라까사 호텔 서울,1,"최악의 크리스마스 스테이였네요.
여름에 웨스트 더블룸에서 친구와 호캉스 했었고, 너무 맘에 들었던터라 크리스마스 남자친구와의 호캉스 장소로 또 라카사에 예약을 했습니다.
예약정보에 욕조객실 랜덤배정이라기에
사전에 미리 전화로 욕조객실지정 요청했고, 가능하다고 호텔서 컨펌 주셨구요.
이전 스테이에선
욕조 없던 룸이었어서 욕조있는 룸 사진 좀 미리 볼수 있는지 여쭤보았고,
호텔 홈페이지 내에 욕조있는 사진이랑 같다고 보면 된다기에 참고하고 갔습니다.
예약당일, 체크인 가능시간 1시간 반이 지난 오후 4시반 정도에 호텔에 도착했고,
체크인 하려하니 욕조있는 방이 현재 없다합니다.
그래도 욕조있는 방을 원하신다하면 15-20분 정도를 기다려야 한다했고,
미리 컨펌 받은 방을 체크인 가능시간도 지난시기에 대기해야한다는게 이해가 안되었지만 하는수없이 기다렸고,
오후 5시가 거의 다 되어 체크인 했습니다.
그러나 배정받은 방은 욕조가 있지만
웨스트 더블룸 사진과는 전혀다른 낙후된 컨디션의 룸이었고, 욕실 어메니티서부터 전체적으로 이전 스테이했던 같은 웨스트 더블룸과는 완전히 다른 컨디션이었습니다.
욕조는 말도 못하고 화장실 수도도 온냉이 따로 분리되어 있으며, 심지어 침대 라이트는 제가 침대 헤드에 머리를 살짝 부딪쳐도 불빛이 달칵달칵,, 어이가없어서 웃음이 나오더군요;;
남자친구와 처음으로 보내는 크리스마스날이라 기대도 컸고, 이전에 스테이가 너무 만족스러워 특별한 날에 재방문을 한건데 너무 기분이 상해서 결국 프론트에 전화해 욕조가 없어도 좋으니 다른 웨스트 더블룸을 요청했고, 이전에 스테이 했었기 때문에 너무 다른 룸 컨디션에 요청한다고도 설명했습니다.
 지금 현재 욕조없는방 준비된 객실이 없고 클스날이라 체크인 하는 손님들 마저 대기가 있다고 언제 변경해줄수 있을지 모른다하시고 그냥 끊으시네요.
방안에 있는 내내 화가나고 어이가 없어서 결국 밤늦게 체크아웃했습니다.
말도 안되는 서비스와 시설 덕에 최악의 크리스마스를 보냈네요더보기",2022. 01. 05,2022. 01. 05
5,라까사 호텔 서울,5,조용하고 좋았습니다.,2022. 01. 04,2022. 01. 04
6,라까사 호텔 서울,5,조아요조아요,2022. 01. 02,2022. 01. 02
7,라까사 호텔 서울,3,"장점
1. 방이 깔끔하고 침구 상태가 좋습니다 
2. 이태원 건너가기 교통이 괜찮습니다 

단점 
1. 와이파이가 중간중간 자주 끊겼습니다 
2. 욕조가 좁았고 냉장고가 지나치게 작았습니다 
3. 방은 깔끔했지만 생각보다 작았고, 히터가 성능이 원활하지 않았습니다더보기",2021. 12. 27,2021. 12. 27
8,라까사 호텔 서울,5,항상 가는 곳인데 너무 만족하고 있습니다,2021. 12. 26,2021. 12. 26
9,라까사 호텔 서울,5,깔끔하고 친절하고 좋았습니다,2021. 12. 26,2021. 12. 26
