날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 02월 14일,169.66,166.63,171.80,165.03,4.75M,1.88%
2022년 02월 11일,166.53,175.31,176.74,164.83,6.46M,-3.15%
2022년 02월 10일,171.95,165.24,177.06,165.24,8.21M,1.43%
2022년 02월 09일,169.53,165.37,170.07,165.08,4.62M,4.48%
2022년 02월 08일,162.26,154.00,163.08,153.44,4.31M,2.75%
2022년 02월 07일,157.91,156.79,160.88,155.95,4.65M,1.51%
2022년 02월 04일,155.56,150.14,157.24,150.00,4.69M,4.00%
2022년 02월 03일,149.57,147.97,152.18,146.68,4.55M,-1.44%
2022년 02월 02일,151.76,156.31,156.51,150.71,3.64M,-3.30%
2022년 02월 01일,156.94,155.35,157.39,152.50,3.77M,1.93%
2022년 01월 31일,153.97,144.80,153.97,143.81,5.42M,7.84%
2022년 01월 28일,142.77,138.54,143.11,134.37,5.60M,3.15%
2022년 01월 27일,138.41,143.48,145.55,137.92,4.41M,-2.62%
2022년 01월 26일,142.14,149.29,152.40,140.04,6.73M,-1.67%
2022년 01월 25일,144.56,143.90,147.38,140.13,5.64M,-2.26%
2022년 01월 24일,147.90,150.00,151.16,135.76,14.57M,-5.63%
2022년 01월 21일,156.73,156.82,160.20,152.41,7.24M,-0.80%
2022년 01월 20일,158.00,157.81,165.20,157.35,4.90M,2.21%
2022년 01월 19일,154.58,157.00,160.23,154.44,5.08M,-0.07%
2022년 01월 18일,154.69,156.91,160.79,153.87,5.77M,-5.67%
2022년 01월 14일,163.99,165.75,167.63,160.24,4.14M,-1.21%
2022년 01월 13일,166.00,170.23,171.99,165.76,4.88M,-2.09%
2022년 01월 12일,169.54,170.24,171.04,165.11,3.53M,0.55%
2022년 01월 11일,168.61,160.71,169.39,159.08,5.32M,4.92%
2022년 01월 10일,160.71,159.76,161.70,152.10,6.96M,-3.22%
2022년 01월 07일,166.05,159.18,166.88,158.46,5.62M,3.94%
2022년 01월 06일,159.75,160.29,163.73,156.34,5.00M,-1.54%
2022년 01월 05일,162.25,169.88,175.11,162.24,4.77M,-5.01%
2022년 01월 04일,170.80,174.15,175.90,167.20,4.07M,-1.09%
2022년 01월 03일,172.68,165.30,172.84,165.22,4.22M,3.72%
2021년 12월 31일,166.49,168.78,170.87,166.08,2.59M,-1.36%
2021년 12월 30일,168.78,167.06,170.85,165.71,2.17M,0.80%
2021년 12월 29일,167.44,169.52,170.48,165.02,1.99M,-1.34%
2021년 12월 28일,169.71,171.32,172.73,167.73,2.15M,-1.15%
2021년 12월 27일,171.68,169.81,172.43,168.78,2.71M,0.22%
2021년 12월 23일,171.31,170.50,171.99,166.89,4.02M,1.19%
2021년 12월 22일,169.29,165.68,170.68,162.80,4.78M,2.19%
2021년 12월 21일,165.66,159.50,167.27,158.37,6.19M,5.36%
2021년 12월 20일,157.23,151.16,158.48,151.00,4.58M,-0.43%
2021년 12월 17일,157.91,154.62,158.31,149.44,24.06M,0.98%
2021년 12월 16일,156.38,166.25,167.73,153.60,9.19M,-6.99%
2021년 12월 15일,168.14,167.64,168.96,160.18,6.60M,0.11%
2021년 12월 14일,167.96,168.30,169.91,164.50,5.64M,-1.80%
2021년 12월 13일,171.04,178.25,180.00,168.89,7.24M,-5.20%
2021년 12월 10일,180.42,178.15,181.10,175.85,3.98M,-0.57%
2021년 12월 09일,181.46,182.09,185.30,179.28,3.37M,-2.70%
2021년 12월 08일,186.49,186.00,187.50,182.14,4.17M,1.83%
2021년 12월 07일,183.14,185.61,187.50,182.02,6.25M,1.27%
2021년 12월 06일,180.85,167.27,181.93,162.85,9.80M,8.46%
2021년 12월 03일,166.75,168.98,170.73,162.14,6.46M,-1.68%
2021년 12월 02일,169.60,161.36,170.29,160.49,5.68M,4.00%
2021년 12월 01일,163.08,174.01,180.13,162.03,7.66M,-5.48%
