날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 02월 14일,2545.66,2521.57,2580.85,2514.14,448.13K,0.62%
2022년 02월 11일,2530.01,2680.00,2687.00,2512.45,593.96K,-3.74%
2022년 02월 10일,2628.38,2580.80,2658.27,2580.80,469.01K,0.05%
2022년 02월 09일,2626.98,2596.08,2639.47,2587.20,684.40K,3.37%
2022년 02월 08일,2541.38,2485.00,2546.86,2476.24,449.49K,2.35%
2022년 02월 07일,2483.05,2467.40,2501.39,2454.16,428.97K,1.64%
2022년 02월 04일,2442.93,2408.41,2469.98,2391.27,312.72K,0.22%
2022년 02월 03일,2437.52,2439.82,2470.84,2426.18,421.04K,-0.14%
2022년 02월 02일,2440.98,2485.00,2487.44,2438.07,358.54K,-1.00%
2022년 02월 01일,2465.64,2464.96,2477.10,2435.58,365.18K,0.39%
2022년 01월 31일,2456.13,2405.78,2470.00,2373.13,374.33K,1.79%
2022년 01월 28일,2412.94,2359.72,2414.85,2341.26,302.93K,2.26%
2022년 01월 27일,2359.65,2419.41,2438.94,2342.07,330.01K,-0.46%
2022년 01월 26일,2370.63,2375.00,2424.68,2320.99,438.97K,1.79%
2022년 01월 25일,2329.02,2285.09,2367.90,2235.03,452.95K,-0.88%
2022년 01월 24일,2349.62,2317.32,2356.35,2218.67,571.38K,0.16%
2022년 01월 21일,2345.86,2433.64,2433.64,2339.31,582.56K,-3.61%
2022년 01월 20일,2433.64,2418.75,2482.53,2410.36,557.41K,2.38%
2022년 01월 19일,2377.09,2372.16,2413.80,2366.73,265.72K,-0.30%
2022년 01월 18일,2384.21,2424.14,2450.00,2376.60,348.89K,-2.72%
2022년 01월 14일,2450.95,2458.98,2460.00,2402.78,276.15K,-0.33%
2022년 01월 13일,2458.98,2442.84,2495.00,2441.77,252.12K,0.94%
2022년 01월 12일,2436.10,2480.00,2494.95,2417.01,277.96K,-1.35%
2022년 01월 11일,2469.42,2392.07,2474.26,2392.07,287.07K,1.77%
2022년 01월 10일,2426.40,2433.74,2433.74,2362.41,324.46K,-0.34%
2022년 01월 07일,2434.58,2435.00,2466.26,2423.77,229.95K,0.19%
2022년 01월 06일,2429.97,2412.99,2460.15,2412.99,239.42K,0.69%
2022년 01월 05일,2413.30,2479.20,2480.54,2412.80,246.98K,-2.09%
2022년 01월 04일,2464.93,2475.00,2518.25,2441.73,375.68K,0.14%
2022년 01월 03일,2461.42,2423.00,2466.00,2396.60,387.84K,2.59%
2021년 12월 31일,2399.23,2391.15,2417.42,2383.75,182.31K,0.14%
2021년 12월 30일,2395.92,2385.68,2428.71,2385.68,195.11K,0.47%
2021년 12월 29일,2384.68,2388.95,2410.94,2374.00,102.70K,-0.09%
2021년 12월 28일,2386.91,2387.06,2414.92,2365.05,144.33K,-0.32%
2021년 12월 27일,2394.51,2389.67,2416.26,2374.50,164.34K,-0.32%
2021년 12월 23일,2402.25,2407.76,2422.41,2395.03,186.48K,0.72%
2021년 12월 22일,2385.18,2346.69,2406.83,2329.72,328.56K,0.82%
2021년 12월 21일,2365.75,2241.37,2370.33,2241.37,550.11K,7.11%
2021년 12월 20일,2208.75,2151.00,2211.31,2107.54,330.53K,-0.08%
