날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 02월 14일,197.17,193.67,203.34,193.25,5.31M,2.63%
2022년 02월 11일,192.12,209.00,210.50,188.06,7.91M,-2.73%
2022년 02월 10일,197.52,194.57,201.93,194.22,5.52M,0.29%
2022년 02월 09일,196.95,195.36,199.26,194.80,3.12M,1.57%
2022년 02월 08일,193.90,187.06,194.54,185.34,3.88M,3.50%
2022년 02월 07일,187.35,186.69,190.00,184.81,2.60M,1.10%
2022년 02월 04일,185.31,181.28,186.85,180.76,2.06M,0.90%
2022년 02월 03일,183.66,182.45,186.05,181.34,1.90M,-0.90%
2022년 02월 02일,185.33,187.76,190.78,184.25,2.36M,-1.45%
2022년 02월 01일,188.06,182.00,188.36,181.44,2.34M,2.60%
2022년 01월 31일,183.29,174.09,183.50,173.21,2.14M,5.12%
2022년 01월 28일,174.36,171.34,174.50,167.29,2.02M,1.83%
2022년 01월 27일,171.23,178.45,179.74,170.41,1.79M,-3.31%
2022년 01월 26일,177.10,177.74,182.68,173.94,2.55M,1.66%
2022년 01월 25일,174.20,167.30,176.23,165.57,3.15M,1.66%
2022년 01월 24일,171.35,169.39,172.00,159.89,3.95M,-1.76%
2022년 01월 21일,174.42,177.50,179.28,172.54,3.44M,-1.74%
2022년 01월 20일,177.50,177.71,183.71,177.18,1.24M,0.59%
2022년 01월 19일,176.46,178.89,180.98,176.28,1.28M,-0.62%
2022년 01월 18일,177.56,181.99,184.70,177.04,2.01M,-3.71%
2022년 01월 14일,184.40,184.74,184.98,179.59,1.45M,-0.36%
2022년 01월 13일,185.06,181.26,190.29,180.55,2.79M,2.10%
2022년 01월 12일,181.25,183.56,184.90,180.72,1.50M,-0.67%
2022년 01월 11일,182.47,179.15,183.39,177.63,1.24M,1.05%
2022년 01월 10일,180.57,181.62,182.00,174.66,2.15M,0.37%
2022년 01월 07일,179.91,177.07,183.58,176.60,1.70M,1.31%
2022년 01월 06일,177.58,181.30,183.10,176.40,1.73M,-2.05%
2022년 01월 05일,181.30,186.27,186.50,180.76,1.80M,-2.20%
2022년 01월 04일,185.37,187.85,190.78,184.60,2.49M,0.22%
2022년 01월 03일,184.97,181.30,185.73,181.30,2.04M,2.35%
2021년 12월 31일,180.72,180.41,183.36,179.37,1.12M,-0.41%
2021년 12월 30일,181.47,180.97,184.05,180.16,1.28M,0.28%
2021년 12월 29일,180.97,179.85,181.99,179.13,1.02M,0.09%
2021년 12월 28일,180.80,181.95,182.84,179.53,1.04M,-0.80%
2021년 12월 27일,182.25,181.26,183.24,178.64,1.11M,-0.83%
2021년 12월 23일,183.78,183.71,185.64,180.22,1.49M,0.75%
2021년 12월 22일,182.42,176.28,183.81,175.19,3.00M,2.91%
2021년 12월 21일,177.27,164.14,178.62,164.08,5.17M,9.14%
2021년 12월 20일,162.43,155.00,162.75,154.01,2.39M,1.96%
2021년 12월 17일,159.31,152.22,161.50,151.70,3.76M,3.16%
2021년 12월 16일,154.43,157.76,158.87,153.26,2.55M,-2.03%
2021년 12월 15일,157.63,158.00,158.01,150.84,2.87M,-0.40%
2021년 12월 14일,158.26,158.79,161.52,157.50,1.84M,-1.70%
2021년 12월 13일,161.00,164.55,165.00,158.56,3.12M,-3.56%
2021년 12월 10일,166.95,170.07,170.87,165.10,1.99M,-1.65%
2021년 12월 09일,169.75,169.25,172.65,168.74,1.48M,-1.53%
2021년 12월 08일,172.39,171.37,174.60,168.05,3.09M,3.49%
2021년 12월 07일,166.57,168.65,170.70,165.31,2.46M,0.30%
2021년 12월 06일,166.07,159.10,169.56,157.59,3.06M,6.74%
2021년 12월 03일,155.58,160.61,162.00,153.04,2.64M,-3.53%
2021년 12월 02일,161.28,156.46,163.43,154.65,2.81M,3.61%
2021년 12월 01일,155.66,165.00,165.87,153.90,3.30M,-3.37%
2021년 11월 30일,161.09,162.06,164.91,159.68,3.44M,-3.25%
2021년 11월 29일,166.50,165.87,169.17,162.66,3.62M,4.19%
2021년 11월 26일,159.80,161.00,162.50,155.59,7.04M,-9.48%
2021년 11월 24일,176.54,176.96,179.25,174.84,1.20M,-0.80%
2021년 11월 23일,177.97,173.57,178.43,173.57,1.98M,2.73%
2021년 11월 22일,173.24,175.99,176.65,172.00,1.51M,-1.10%
2021년 11월 19일,175.16,173.61,176.65,170.82,2.38M,-0.80%
2021년 11월 18일,176.58,178.00,179.80,173.00,1.83M,-0.57%
2021년 11월 17일,177.59,174.42,178.28,173.05,2.06M,1.20%
2021년 11월 16일,175.49,177.36,177.39,174.23,2.37M,-1.19%
2021년 11월 15일,177.61,179.16,179.19,176.50,1.89M,-0.73%
2021년 11월 12일,178.91,183.41,183.43,178.00,2.19M,-2.01%
2021년 11월 11일,182.58,185.07,186.60,182.04,1.71M,-1.66%
2021년 11월 10일,185.67,186.39,191.83,184.01,3.08M,-1.24%
2021년 11월 09일,188.00,187.60,189.67,184.57,4.08M,-0.23%
2021년 11월 08일,188.43,183.38,191.85,183.35,6.88M,3.44%
2021년 11월 05일,182.17,179.29,184.21,172.21,11.36M,15.63%
2021년 11월 04일,157.55,166.00,166.74,156.27,4.45M,-2.90%
2021년 11월 03일,162.25,160.40,162.64,159.61,2.08M,1.51%
2021년 11월 02일,159.84,164.07,164.83,159.52,2.44M,-4.42%
2021년 11월 01일,167.23,165.79,168.85,164.77,1.50M,1.72%
2021년 10월 29일,164.41,163.93,164.78,159.80,1.82M,0.09%
2021년 10월 28일,164.26,163.90,166.13,162.88,1.21M,0.07%
2021년 10월 27일,164.14,163.00,164.97,161.91,1.27M,0.85%
2021년 10월 26일,162.75,162.96,164.16,161.34,1.31M,0.81%
2021년 10월 25일,161.44,161.33,162.77,159.01,1.14M,-0.14%
2021년 10월 22일,161.67,162.27,163.82,160.24,1.47M,-0.66%
2021년 10월 21일,162.75,163.26,164.93,161.56,2.20M,-0.60%
2021년 10월 20일,163.73,166.28,166.51,161.29,2.77M,-1.49%
2021년 10월 19일,166.20,169.86,170.61,165.96,1.85M,-2.19%
2021년 10월 18일,169.92,170.81,171.88,169.18,1.28M,-1.20%
2021년 10월 15일,171.99,171.00,174.85,170.23,2.12M,1.84%
2021년 10월 14일,168.89,169.68,170.70,168.32,1.03M,0.23%
2021년 10월 13일,168.51,169.27,169.71,165.91,1.04M,-0.61%
2021년 10월 12일,169.55,168.76,170.76,167.80,1.02M,0.62%
2021년 10월 11일,168.51,170.36,171.79,168.42,850.43K,-0.86%
2021년 10월 08일,169.98,173.49,174.00,169.63,1.28M,-1.35%
